epoch,ae_loss,rec_loss,commit_loss,vq_loss,lpips_loss,wasserstein_loss,d_loss,g_loss,perplexity,codebook_utilization,quant_1,quant_2,quant_3,quant_4,quant_5,quant_6,quant_7,quant_8,quant_9,quant_10
1,0.7907628832937597,0.20697838750296024,0.00682701138803401,0.029014798300852487,0.5434919520393833,0.11041393140569711,0.0,0.403575069574646,4682.518245710995,0.832257057720925,0.29645381294764006,0.24108453927350132,0.19592269518218197,0.1628490296557491,0.14195227947754738,0.12395347263186406,0.10048748468195562,0.08460754275513001,0.06931370435343993,0.029014798300852487
2,0.6078873694816351,0.15820067078420968,0.007197865765992102,0.030590929483292086,0.4103803118288299,0.10582875364866012,0.0,0.40789278075371904,5741.70381896749,0.8944722269917582,0.28015971202880907,0.23041318294220356,0.1927620827496707,0.16546153481845016,0.14770334173034835,0.13143600085443194,0.10826014904748826,0.09222963227184264,0.07611942430446436,0.030590929483292086
3,0.5293532304274731,0.1374552159300654,0.007500519338080953,0.0318772072320456,0.351839059875125,0.10727802560333805,0.0,0.4058022876253058,6063.486020489927,0.9092159061641484,0.274847262044311,0.22975021589806666,0.19486251934653237,0.16860975679897128,0.15118800124133025,0.13485668169764373,0.11147085817414762,0.0953467421561152,0.07910269105827415,0.0318772072320456
4,0.479507952382713,0.12457684095907998,0.007462620324090178,0.031716136394866874,0.31608970425067806,0.10335218057636814,0.0,0.40233216202739397,6223.716161036229,0.9150198353079212,0.2658590991254691,0.22817945166494383,0.19584108013045656,0.16954067382183705,0.15164847424997516,0.1347833755443166,0.11100333515595603,0.0948203523326051,0.07867674448360236,0.031716136394866874
5,0.4464371756210432,0.11665654085549243,0.0074329765090521,0.0315901500756269,0.29158099110309893,0.10131672259433802,0.0,0.39981575812393927,6385.724123776614,0.9186883164849473,0.2731636764802339,0.23628845199560508,0.20195406961899537,0.17273990747146992,0.15304339472409134,0.13511048767702047,0.11067210556768672,0.09426366447747409,0.07812671891444332,0.0315901500756269
6,0.41161671892190593,0.10723994668204706,0.007348398194433405,0.031230692236578508,0.26729282562112633,0.09789375988118378,0.0,0.4024892021448184,6514.892673813816,0.9221983968993246,0.28478054249242984,0.2445711197925138,0.20672844557753411,0.17489846621131722,0.15367693519526784,0.13479066851647784,0.1097592508263422,0.09318459291870777,0.07709499126498079,0.031230692236578508
7,0.38049051258371863,0.09871743076341057,0.007240059342057932,0.030770252107373088,0.24606078775811108,0.09370076850111231,0.0,0.40276030884994257,6609.527436755952,0.9251624027014652,0.2899586079649,0.24828073608897108,0.20866086434968661,0.17562061310796948,0.1535641794730892,0.13401374758490714,0.1085638879037602,0.09189139028171917,0.07592381756657209,0.030770252107373088
8,0.36056138531410653,0.09365089677083187,0.007117217523472268,0.03024817439266941,0.2324172377640948,0.09006723936224159,0.0,0.39821030576150496,6679.170382433322,0.9269342108087225,0.29388940781900735,0.2513573705440476,0.21057767164467017,0.17626840929626983,0.1533403516961978,0.133106451577101,0.10725115474327143,0.09054237000998996,0.07470558127968302,0.03024817439266941
9,0.3471577165873496,0.09050196166331079,0.0070205757952203135,0.029837447051436473,0.22309206349727434,0.0873069524860535,0.0,0.4020866538797106,6730.882476247711,0.9282095772879464,0.2967919289738267,0.2542911999118634,0.2126068515709905,0.17707366938446903,0.15329014226084664,0.13248176055349709,0.10629207552188918,0.08952692750118155,0.07379875403757279,0.029837447051436473
10,0.3368641283813414,0.08824246365836252,0.006940767837640567,0.029498263364555417,0.2157773636690863,0.08518831147351763,0.0,0.399356959940313,6781.076449998569,0.9293277726505266,0.30043150664685847,0.2576867841702678,0.21502504066560732,0.17826554258336952,0.153616383316971,0.13221681752538944,0.10562592286330003,0.08876379164474787,0.07309874608403161,0.029498263364555417
11,0.32815505744336726,0.08618580455799679,0.006872196921451024,0.029206836787171852,0.2097999055088658,0.08317846435057374,0.0,0.3997940766614872,6805.378899989984,0.9298756358387706,0.30236401788262657,0.2596482318235841,0.21632286524161315,0.1786427196565565,0.1533797766481127,0.13156797495353353,0.10477380560977119,0.08793751986854242,0.07239248471900875,0.029206836787171852
12,0.3207177006172173,0.08440243808941526,0.006788495062396695,0.02885110393821538,0.20482010609937676,0.08122411870394215,0.0,0.4003447676316286,6844.709112258184,0.9304489862351191,0.30502895028381555,0.26191142144111484,0.21776954936129705,0.17916694182506848,0.15327394764611135,0.13103422904625917,0.10398861375593003,0.08710378509410571,0.07162874711220299,0.02885110393821538
13,0.3145105447415467,0.08305893448137101,0.006704457503344331,0.02849394433718898,0.20059969486334386,0.0793741141401586,0.0,0.3992489706793111,6868.823190318796,0.9308912116529304,0.3069053168916877,0.26364473425425017,0.21893953799437255,0.17957123429019808,0.15311209832901482,0.13047943669524822,0.10321470059372567,0.08630976708599063,0.07090944300777528,0.02849394433718898
14,0.3104342221667915,0.0821914227181302,0.006666569596995691,0.028332920724546518,0.19777532241174153,0.07822526091429995,0.0,0.3993585548558078,6892.464393028846,0.9313787104009272,0.30905866295426754,0.2656601722805928,0.22038062781968834,0.18030477107772025,0.1533249272477059,0.13030738982580084,0.10281478763718307,0.08587094033375764,0.07052178337706096,0.028332920724546518
15,0.30640287680940315,0.08141933402026093,0.006635936639773158,0.028202730616479568,0.19478364065016582,0.07744055859498926,0.0,0.4016230436580958,6904.342224344666,0.9313139863066621,0.3109017163515091,0.2672341756331615,0.22148103709076786,0.18084197772509886,0.15349489581453932,0.13020575657868996,0.10256200604440965,0.08557798661591806,0.07025015131048448,0.028202730616479568
16,0.3029841573247106,0.08050353661343292,0.006586006403330973,0.02799052726682071,0.192675449690976,0.07629954397350877,0.0,0.39873087580824074,6914.920233981513,0.9316347003419757,0.3121559109006609,0.26845393234338516,0.22224923433401647,0.1810362051094408,0.1532827901752877,0.12974358310465847,0.10199545730492134,0.08501533605840617,0.06976705221902757,0.02799052726682071
